Identification, authentication, authorization and accounting (AAA),
Multifactor authentication,
Multifactor authentication,- Something you are - Something you have - Something you know - Somewhere you are - Something you do
Something you are,
Something you have,
Something you know,
Somewhere you are,
Federation,
Single sign-on,
Transitive trust,
LDAP,
Kerberos,
TACACS+,
CHAP,
PAP,
MSCHAP,
RADIUS,
SAML,
OpenID Connect,
OAUTH,
Shibboleth,
Secure token,
NTLM,
- Access control models,
- Access control models,- MAC - DAC - ABAC - Role-based access control - Rule-based access control
MAC,
DAC,
ABAC,
Role-based access control,
Physical access control,
Physical access control,- Proximity cards - Smart cards
Proximity cards,
Biometric factors,
Biometric factors,- Fingerprint scanner - Retinal scanner - Iris scanner - Voice recognition - Facial recognition - False acceptance rate - False rejection rate - Crossover error rate
Fingerprint scanner,
Retinal scanner,
Iris scanner,
Voice recognition,
Facial recognition,
False acceptance rate,
False rejection rate,
Tokens,
Tokens,- Hardware - Software - HOTP/TOTP
Hardware,
Software,
Certificate-based authentication,
Certificate-based authentication,- PIV/CAC/smart card - IEEE 802.1x
PIV/CAC/smart card,
File system security,
Database security,
Account types,
Account types,- User account - Shared and generic accounts/credentials - Guest accounts - Service accounts - Privileged accounts
User account,
Shared and generic accounts/credentials,
Guest accounts,
Service accounts,
General Concepts,
General Concepts,- Least privilege - Onboarding/offboarding - Permission auditing and review - Usage auditing and review - Time-of-day restrictions - Recertification - Standard naming convention - Account maintenance - Group-based access control - Location-based policies
Least privilege,
Onboarding/offboarding,
Permission auditing and review,
Usage auditing and review,
Time-of-day restrictions,
Recertification,
Standard naming convention,
Account maintenance,
Group-based access control,
Account policy enforcement,
Account policy enforcement,- Credential management - Group policy - Password complexity - Expiration - Recovery - Disablement - Lockout - Password history - Password reuse - Password length
Credential management,
Group policy,
Password complexity,
Expiration,
Recovery,
Disablement,
Lockout,
Password history,
Password reuse,
Password length,
